,Point,EndPointFrequency,StartPointFrequency,Latitude,Longitude,PointCounts,TotPct,StartPct,EndPct
0,"(53.62560417, -0.20199861)",1254,2250,53.62560417,-0.20199861,3504,1.5813630230028748,1.7582520630157539,1.3395575400852446
1,"(53.35047, -6.20923)",677,185,53.35047,-6.20923,862,0.3890225244944287,0.14456739184796197,0.7231901552134853
2,"(53.57513, -0.11671)",439,1876,53.57513,-0.11671,2315,1.0447646684508147,1.4659914978744686,0.46895196180017734
3,"(52.55913, -0.17384)",392,158,52.55913,-0.17384,550,0.24821622792567957,0.12346836709177295,0.4187452597395661
4,"(50.73771, 3.24732)",389,988,50.73771,3.24732,1377,0.6214431742793832,0.7720680170042511,0.41554057662931426
5,"(55.88724, 9.7797)",357,975,55.88724,9.7797,1332,0.6011345738127367,0.7619092273068266,0.38135729011996194
6,"(50.85454, 3.18812)",328,983,50.85454,3.18812,1311,0.5916572269283016,0.7681607901975493,0.3503786867208614
7,"(60.17455, -1.15693)",326,698,60.17455,-1.15693,1024,0.4621334861743561,0.5454488622155539,0.34824223131402693
8,"(55.72639, -3.95987)",277,2685,55.72639,-3.95987,2962,1.3367572129379324,2.0981807951988,0.29589907384658115
9,"(56.20318, 14.8734)",228,6496,56.20318,14.8734,6724,3.0345562119495804,5.076269067266817,0.24355591637913537
10,"(56.16279, 14.84092)",211,1513,56.16279,14.84092,1724,0.7780450489888574,1.182326831707927,0.22539604542104194
11,"(52.64919, 0.15457)",191,403,52.64919,0.15457,594,0.2680735261597339,0.31492248062015504,0.20403149135269671
12,"(51.09152, 1.11996)",181,101,51.09152,1.11996,282,0.1272672295909848,0.07892598149537385,0.19334921431852414
13,"(53.62811, -0.18739)",166,2579,53.62811,-0.18739,2745,1.238824628465437,2.0153475868967243,0.17732579876726523
14,"(57.71873, 11.82862)",151,28,57.71873,11.82862,179,0.08078309963399388,0.02188047011752938,0.16130238321600632
